canonical_id,ad_company,stock_code,stock_name,listed_company,industry,match_status,match_method,match_confidence,match_note,unmatched_reason,candidate_stock_code,candidate_company,similarity,review_decision
420,招商银行股份有限公司台州分行,600036.SH,招商银行,招商银行股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,招商银行地方分行归并至总行,,600036.SH,招商银行股份有限公司,83.33,accepted_reviewed_rule
423,中国平安财产保险股份有限公司汕头中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,000570.SZ,常柴股份有限公司,67.5,accepted_reviewed_rule
429,中国平安财产保险股份有限公司重庆分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601318.SH,中国平安保险(集团)股份有限公司,68.57,accepted_reviewed_rule
434,中国平安财产保险股份有限公司唐山中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,000570.SZ,常柴股份有限公司,67.5,accepted_reviewed_rule
442,中国平安财产保险股份有限公司福建分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601318.SH,中国平安保险(集团)股份有限公司,68.57,accepted_reviewed_rule
444,中国平安人寿保险股份有限公司江苏分公司南京第七营业部,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601336.SH,新华人寿保险股份有限公司,75.0,accepted_reviewed_rule
446,中国平安人寿保险股份有限公司宁波分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601628.SH,中国人寿保险股份有限公司,77.42,accepted_reviewed_rule
450,北京兆易创新科技股份有限公司,603986.SH,兆易创新,兆易创新科技集团股份有限公司,制造业,matched,reviewed_name_alias,high,历史名称/集团化更名复核,,301270.SZ,北京汉仪创新科技股份有限公司,85.71,accepted_reviewed_rule
453,中国平安财产保险股份有限公司四川分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601318.SH,中国平安保险(集团)股份有限公司,68.57,accepted_reviewed_rule
454,中国平安财产保险股份有限公司四川分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601318.SH,中国平安保险(集团)股份有限公司,68.57,accepted_reviewed_rule
463,中国平安财产保险股份有限公司江门中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,000570.SZ,常柴股份有限公司,67.5,accepted_reviewed_rule
468,厦门市万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,,689009.SH,九号有限公司,72.0,accepted_reviewed_rule
469,四川蓝光嘉宝服务集团股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,000016.SZ,康佳集团股份有限公司,80.0,rejected_auto_match
473,中国平安财产保险股份有限公司邳州支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601318.SH,中国平安保险(集团)股份有限公司,68.57,accepted_reviewed_rule
480,苏州瑞玛精密工业股份有限公司,002976.SZ,瑞玛精密,苏州瑞玛精密工业集团股份有限公司,制造业,matched,reviewed_name_alias,high,历史名称/集团化更名复核,,002976.SZ,苏州瑞玛精密工业集团股份有限公司,93.33,accepted_reviewed_rule
481,中国平安人寿保险股份有限公司浙江分公司下沙营销服务部,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601336.SH,新华人寿保险股份有限公司,75.0,accepted_reviewed_rule
484,辽宁禾丰牧业股份有限公司,603609.SH,禾丰股份,禾丰食品股份有限公司,制造业,matched,reviewed_name_alias,high,历史曾用名归并至禾丰股份,,000570.SZ,常柴股份有限公司,77.14,accepted_reviewed_rule
485,中国平安人寿保险股份有限公司无锡中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601336.SH,新华人寿保险股份有限公司,75.0,accepted_reviewed_rule
487,哈尔滨银行股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,600202.SH,哈尔滨空调股份有限公司,81.82,rejected_auto_match
491,中国平安人寿保险股份有限公司上海分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601628.SH,中国人寿保险股份有限公司,77.42,accepted_reviewed_rule
492,老铺黄金股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,001337.SZ,四川黄金股份有限公司,80.0,rejected_auto_match
493,中国平安财产保险股份有限公司天津分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601318.SH,中国平安保险(集团)股份有限公司,68.57,accepted_reviewed_rule
